primaryTitle,startYear,genres,averageRating,numVotes
Salome Mad,1909,Comedy,4.0,21
My Husband's Getting Married,1913,Comedy,3.7,34
Die Insel der Seligen,1913,"Comedy,Fantasy",4.6,74
A Regiment of Two,1913,"Comedy,Drama",6.3,26
Where Is Coletti?,1913,"Comedy,Crime",6.4,47
The Adventures of Andy Clark,1914,"Adventure,Comedy",4.6,20
Brewster's Millions,1914,Comedy,6.4,56
Engelein,1914,Comedy,6.3,117
A Florida Enchantment,1914,Comedy,5.8,308
"His Majesty, the Scarecrow of Oz",1914,"Adventure,Comedy,Family",5.3,532
The Borrowed Babies,1915,Comedy,4.0,30
The Man from Mexico,1914,Comedy,8.2,42
Mrs. Black Is Back,1914,Comedy,7.4,20
The Patchwork Girl of Oz,1914,"Adventure,Comedy,Family",5.4,583
The Ragged Earl,1914,"Comedy,Drama",3.5,19
Tillie's Punctured Romance,1914,Comedy,6.2,3770
What's His Name,1914,"Comedy,Drama",6.6,27
The Wishing Ring: An Idyll of Old England,1914,"Comedy,Drama,Romance",6.4,361
After Five,1915,"Comedy,Crime,Thriller",5.2,25
Are You a Mason?,1915,Comedy,7.0,41
The Arrival of Perpetua,1915,Comedy,5.0,14
Betty in Search of a Thrill,1915,"Adventure,Comedy,Drama",6.5,26
Blind Man's Bluff,1915,Comedy,4.4,16
Charley's Aunt,1925,Comedy,6.6,78
Chimmie Fadden Out West,1915,"Comedy,Western",5.2,30
Clarita y Peladilla van a los toros,1915,Comedy,4.3,11
The Cub,1915,"Comedy,Drama",6.0,33
David Harum,1915,"Comedy,Drama,Romance",5.7,68
Double Trouble,1915,"Comedy,Romance",5.2,154
The Dust of Egypt,1915,Comedy,6.9,24
The Fixer,1915,Comedy,4.7,18
The Galloper,1915,"Adventure,Comedy",5.4,22
A Gilded Fool,1915,"Comedy,Drama",6.3,33
A Girl of Yesterday,1915,Comedy,6.8,20
The Great Adventure,1916,Comedy,4.5,10
How Molly Malone Made Good,1915,"Adventure,Comedy",5.5,64
It's No Laughing Matter,1915,"Comedy,Drama",8.3,24
Jane,1915,Comedy,8.0,19
The Lamb,1915,"Adventure,Comedy,Western",5.6,64
Marrying Money,1915,Comedy,6.2,15
The Misleading Lady,1916,"Comedy,Drama",7.5,20
The Morals of Marcus,1915,"Comedy,Drama",5.4,18
Mrs. Plum's Pudding,1915,"Comedy,Western",5.0,16
A Night Out,1916,Comedy,6.4,16
The Old Homestead,1915,"Comedy,Drama",6.0,17
The Pretenders,1915,"Comedy,Drama",7.8,17
Pretty Mrs. Smith,1915,Comedy,7.4,15
The Slim Princess,1915,Comedy,5.9,19
The Pride of the Firm,1914,Comedy,5.3,72
A Texas Steer,1915,"Action,Adventure,Comedy",3.3,36
Tillie's Tomato Surprise,1915,Comedy,6.0,51
The Whirl of Life,1915,Comedy,6.3,41
Young Romance,1915,"Comedy,Romance",5.8,222
